Description,Code,SKU,UOM,Resource Type,Expense Item (by Default)
16MM ROUTER BIT CMT-102.150.31,00-50003652,,Nos.,Inventory Item,
1880MM X 478MM X 6MM BLACK TINTED TEMPERED GLASS ,00-50002901,,Nos,Inventory Item,
1x22MM PVC LIPPING AGT-1023  ,00-50001637,,Mtr,Inventory Item,
"2 PLY CORRUGATED ROLL 130X30 MTR, 20KG",00-50000394,,Roll,Inventory Item,
20ARTIFICIAL MIXED TREES  HEIGHT 120 -200 CM ,00-50002386,,LS,Inventory Item,
2200MMx1050MMx54MM 60 Minutes Fire Rated Chipboard -FIREBAN FD60,00-50002938,,SHEET,Inventory Item,
3C x 1.5MM RR CABLE-WHITE,00-50002411,,Roll,Inventory Item,Cost of Materials
3C x 2.5MM RR CABLE-WHITE,00-50001220,,Roll,Inventory Item,Cost of Materials
3C x 6MM CABLE-WHITE,00-50004036,,Roll,Inventory Item,Cost of Materials
3D CARVING ON 54MM SIZE 500X2600,00-50000750,,Nos,Service,Material costs
3MM ACRYLIC LIGHT PASS WITH PHOTO PRINT,00-50001261,,Nos,Inventory Item,Cost of Materials
3MM CLEAR GLASS ,00-50003540,,Nos,Inventory Item,
3MMX4X8 ACRYLIC - BLACK MATT,00-50003305,,SHEET,Inventory Item,Cost of Materials
3MMX4X8 ACRYLIC LIGHT PASS - MILKY WHITE,00-50002425,,SHEET,Inventory Item,Cost of Materials
3MMX4X8 ACRYLIC SHEET - CLEAR,00-50003816,,SHEET,Inventory Item,Cost of Materials
45 GALLON S.S WATER COOLER 4 TAP,00-50003285,,No.,Inventory Item,Cost of Materials
4MMX4X8 LIGHT PASS ACRYLIC SHEET,00-50004000,,SHEET,Inventory Item,Cost of Materials
4x8x2.8MM ACRYLIC SHEET - BLACK MATT,00-50002874,,SHEET,Inventory Item,
4x8x2.8MM BLACK GLOSSY ACRYLIC,00-50004034,,SHEET,Inventory Item,
54MM DOOR CALIBERATION + MDF PRESSING + B/S VENEER PRESSING,00-50001160,,Nos,Service,Material costs
54mm x 1045mm x 2155mm 60 Minutes Fire Rated Chipboard -AXIS Core FD60,00-50001648,,SHEET,Inventory Item,
6MM CLEAR GLASS ,00-50003568,,Nos,Inventory Item,Cost of Materials
6MMX3050X2030 LIGHT PASS ACRYLIC SHEET,00-50004001,,SHEET,Inventory Item,Cost of Materials
6MMX4X8 ACRYLIC - MILKY WHITE,00-50002802,,SHEET,Inventory Item,Cost of Materials
6MMX4X8 ACRYLIC SHEET - CLEAR,00-50003428,,SHEET,Inventory Item,Cost of Materials
6MMX4X8 LIGHT PASS ACRYLIC SHEET,00-50003539,,SHEET,Inventory Item,Cost of Materials
90° Two Side Connector White - Hafele - 713.55.122 WHITE,00-50001915,,Nos,Inventory Item,
ABSORBENT GAUZE BANDAGE 5CM,00-50001699,,Pkt,Inventory Item,Other Operating Expenses
Adjustable Angle Connector White - Hafele - 713.55.121 WHITE,00-50001914,,Nos,Inventory Item,
ALUMINIUM HEIGHT ADJUSTABLE TV FLOOR STAND WITH WHEELS SH666TW,00-50002421,,No.,Inventory Item,
BAR HANDLE 96X150X12MM- BLACK COATED,00-50002335,,Nos,Inventory Item,
BAR HANDLE 96X150X12MM SS FINISH,00-50002334,,Nos,Inventory Item,
BETADINE ANTISEPTIC SOLUTION 120ML,00-50001694,,Nos,Inventory Item,Other Operating Expenses
BETADINE OINTMENT 40G,00-50001697,,Nos.,Inventory Item,Other Operating Expenses
BLACK POWDER COATING,00-50000797,,Nos,Service,
BLACK STICKER - VINYL,00-50002961,,LM,Inventory Item,Cost of Materials
BOOK FILE FOLDER A4 - 60 POCKETS,00-50003341,,Nos,Inventory Item,Cost of Materials
BUTT HINGES 4X3X3 ANTIQUE FINISH - DEVON,00-50001258,,Pair,Inventory Item,Cost of Materials
CABINET HINGES - TYPE B - BLUM,00-50002902,,Nos,Inventory Item,
"CALIBRATION,    VENEER, AND SEALER  WITH    2620    BELT LENGTH,    FIRST DRUM  STEEL,  42  ELECTRNOIC  SEGEMENT,   BRUSH   UNIT",00-50001501,,Unit,Inventory Item,
CANTER EURO V 4.2 TON CHASSIS 24V,00-50002067,,Nos,Inventory Item,Cost of Materials
CAT6 CABLE D-LINK,00-50002299,,Roll,Inventory Item,
CEILING FILTER FOR SPRAY PAINT BOOTH,00-50003346,,SHEET,Inventory Item,Cost of Materials
CENTERINOX TOUPIE SANDING DRUM 80x120x35,00-50001218,,Nos.,Inventory Item,MACHINERY MAINTENANCE
CHAIN 100KG,00-50002482,,Mtr,Inventory Item,
CLEAR TEMPERED GLASS,00-50002579,,Nos,Inventory Item,
CNC CARVING,00-50001213,,RM,Service,
CNC TURNING,00-50001214,,Nos,Service,Direct Cost
COCO BRUSH 24'',00-50001885,,Nos,Inventory Item,
"COCONUT BRUSH 12""",00-50001273,,Nos,Inventory Item,Cost of Materials
"COCONUT BRUSH 18""",00-50001274,,Nos,Inventory Item,Cost of Materials
"COCONUT BRUSH 24""",00-50001275,,Nos,Inventory Item,Cost of Materials
COLIN CUBE TABLE - RENTAL,00-50002153,,Nos,Service,
COMPANY SIGNAGE,00-50003350,,No.,Inventory Item,Cost of Materials
"CPU - i7 12700 - MOTHERBOARD MSI B760 PLUS WIFI, RAM DDR5 32GB 16X2, 5200 SSD KINGSTON NV3 2TB, POWERSUPPLY 650W, A370 CASE, CPU AIR COOLER",00-50003520,,No.,Inventory Item,Cost of Materials
CTIP-1002-RS11 Ulfa Rectangle CT White 100X50XH45 CM,00-50002198,,Day(s),Service,
DESIGNED TILE - 150X150,00-50002707,,Nos.,Inventory Item,Cost of Materials
DETTOL 125ML,00-50001691,,Nos,Inventory Item,Other Operating Expenses
DOCUMENT BAG A3,00-50002118,,Nos,Inventory Item,
DOOR FOR SANDING,00-50001656,,Nos,Service,
DRAWER CHANNEL 450MM U/M SOFT-HAFELE,00-50003687,,Set,Inventory Item,
Dry Arrangement for existed box Box Dimesnions:9.5x0.8 M,00-50002293,,ART,Service,
EARTH CABLE,00-50002455,,Mtr,Inventory Item,
European Ash Wood 2'',00-50000349,,CFT,Inventory Item,Cost of Materials
FABRICATION & SUPPLY OF METAL WORK,00-50001992,,Nos,Service,
"FABRICATION, SUPPLY AND INSTALLATION OF GI STEEL INFORMATION STAND",00-50000751,,Nos,Service,Subcontractor Cost
"FABRICATION,SUPPLY & INSTALLTION OF DUCT",00-50001748,,Nos,Service,
FDZN30 3 Ton Toyota Diesel Forklift,00-50001332,,Unit,Inventory Item,
FENOMASTIC RAL 3009 OXIDE RED-JOTUN,00-50002289,,Drum,Inventory Item,Cost of Materials
FEVICOL SWR SUPER [50KG],00-50002115,,Kg,Inventory Item,
FEVICOL SWR SUPER- 50KG,00-50001921,,Drum,Inventory Item,
Flood Light 200W,00-50001627,,Nos,Inventory Item,
FLOOR TRUNKING 100MM - YELLOW / BLACK,00-50002423,,PCS,Inventory Item,Cost of Materials
FLOOR TRUNKING 50MM - WHITE,00-50002424,,PCS,Inventory Item,Cost of Materials
FRAME MILLING MACHINE YC-TF7,00-50002903,,Unit,Inventory Item,
G3 SPIRAL ROUTER BIT 4x15x50 Z2,00-50001636,,Nos,Inventory Item,Cost of Materials
GAUZE SPONGES ,00-50001698,,Pkt,Inventory Item,Other Operating Expenses
GLASS SHELF,00-50003304,,No.,Inventory Item,Cost of Materials
GLUE STICK,00-50001282,,Box,Inventory Item,Cost of Materials
"GROVE FABRIC , 10- RATTAN FABRIC LIBRARY",00-50002176,,Mtr,Inventory Item,
H.E. OFFICE DECORATIVE SIDE TABLE,00-50001532,,Nos.,Service,
HAND GLOVES - DOTTED,00-50002689,,Pair,Inventory Item,Cost of Materials
HAND GLOVES - WURTH (12 PCS),00-50003992,,Pkt,Inventory Item,Cost of Materials
"Hanging Pendant Light - Public Area - Centre Area, LHS & RHS",00-50002208,,No.,Inventory Item,
HANSAPLAST BANDAGE,00-50001704,,Pkt,Inventory Item,Other Operating Expenses
HERITAGE FABRIC- AL YAMAMA,00-50001715,,Mtr,Inventory Item,Cost of Materials
HINGES TYPE C - GLASS DOOR,00-50003303,,No.,Inventory Item,Cost of Materials
IODINE TINCTURE 30ML,00-50001700,,Nos.,Inventory Item,Other Operating Expenses
JOTUN FENOMASTIC RAL 5002,00-50002296,,Drum,Inventory Item,Cost of Materials
JOTUN FENOMASTIC RAL-1015,00-50002297,,Drum,Inventory Item,
JOWAT EVA-HOTMELT GLUE-CLEAR (JOWAT 280.30),00-50001570,,Kg,Inventory Item,
JOWATHERM HOTMELT GLUE-WHITE (JOWAT 288.61),00-50001569,,Kg,Inventory Item,
"LAPTOP - HP 15-FD0406NIA I7-1355U, 16GB, 512SSD, 2GB GRAPHIC NVIDIA, 15.6"" FHD",00-50003519,,No.,Inventory Item,Cost of Materials
LEATHER FABRIC (26 HUNTER) - FABRIC LIBRARY,00-50002065,,Mtr,Inventory Item,
"LED TRACK SPOT 15W, 3000K, BLACK, IP20, WARRANTY 2 YEARS",00-50001855,,Nos,Inventory Item,
"LED TRACK SPOT 15W, 3000K, WHITE, IP20, WARRANTY 2 YEARS",00-50001854,,Nos,Inventory Item,
"Loading,Unloading,Handling,Transportation & Shifting @site",00-50002449,,LS,Service,
MEASURING TAPE 50 MTR,00-50001853,,Nos,Inventory Item,
METAL ANGLE,00-50003363,,Nos,Inventory Item,Cost of Materials
METAL BRACKET,00-50000041,,Nos,Inventory Item,Cost of Materials
METAL EXHAUST FAN 180MM,00-50003613,,No.,Inventory Item,Cost of Materials
METAL T SUPPORT,00-50001541,,Nos.,Inventory Item,
"Mortice hinge, Simonswerk TECTUS TE 340 3D,concealed, for flush doors up to 80 kg 3D adjustable, size 160 mm, Matt black 924.17.137",00-50002904,,Nos,Inventory Item,
MOTOR REWINDING - EXHAUST FAN ,00-50003451,,No.,Service,
MOTOR REWINDING 3 PH - AIR COMPRESSOR,00-50003875,,No.,Service,
MOTOR REWINDING 4 KW - AIR COMPRESSOR,00-50003385,,No.,Service,
MULMUL CLOTH,00-50001262,,Pkt,Inventory Item,Cost of Materials
N95 FACE MASK,00-50002095,,Box,Inventory Item,Cost of Materials
NAIL 50MMX17 U PIN,00-50003642,,Pkt,Inventory Item,
NAIL WASHER 4X20,00-50001900,,Kg,Inventory Item,
OPIZOLE CREAM CLOTRIMAZOLE,00-50001702,,Nos.,Inventory Item,Other Operating Expenses
OUTSOURCE CARPENTER,00-50003323,,HR,Service,
OUTSOURCE ELECTRICIAN,00-50003723,,HR,Service,
OUTSOURCE HELPER,00-50001118,,HR,Service,Cost of Labor Space
OUTSOURCE PAINTER,00-50001433,,HR,Service,Cost of Labor Outsouce
PAIN RELIEF SPRAY 150ML,00-50001692,,Nos,Inventory Item,Other Operating Expenses
PALM LEAF 2MTR x 2.5 MTR ROLL,00-50003283,,Roll,Inventory Item,Cost of Materials
PANADOL EXTRA,00-50001703,,Pkt,Inventory Item,Other Operating Expenses
"PEDESTAL FAN 26""",00-50003136,,No.,Inventory Item,Cost of Materials
"PIPE ROD 1"" SS FINISH",00-50001554,,Nos,Inventory Item,Cost of Materials
PREMIUM PAPER FILTER FOR SPRAY PAINT BOOTH - 9.2MM WIDTH,00-50003345,,Pkt.,Inventory Item,Cost of Materials
PRISTINE VEVLET ARMCHAIR - RENTAL,00-50002155,,Nos,Service,
PU MATT 10% H86010-APS 7314A-ICA,00-50002292,,Drum,Inventory Item,
Public Liability – Annual Cover Insurance Contract - SHADES INTERIORS LLC - SHJ. BR,00-50003158,,Year,Inventory Item,
PURE COTTON BALLS ,00-50001695,,Pkt,Inventory Item,Other Operating Expenses
"Push catch magent with counterpeice - Hafele - 356.04.631, With Counter Plate 246.08.910",00-50001918,,Nos,Inventory Item,
PVC CABLE GALAND,00-50001723,,Nos,Inventory Item,Cost of Materials
PVC LIPPING 0.5x22 P1001 - 100 MTR - UNILAM,00-50001242,,Mtr,Inventory Item,Cost of Materials
PVC LIPPING 0.8x22 P1001 - 100 MTR,00-50001243,,Mtr,Inventory Item,Cost of Materials
PVC LIPPING ASD-1039 22 X 1MM - ALZAN,00-50003812,,LM,Inventory Item,Cost of Materials
PVC LIPPING ASD-1075 22 X 1MM - ALZAN,00-50003811,,LM,Inventory Item,Cost of Materials
PVC LIPPING ASD-1105 22 X 1MM - ALZAN,00-50003813,,LM,Inventory Item,Cost of Materials
PVC LIPPING ASD-1115 22 X 1MM - ALZAN,00-50003814,,LM,Inventory Item,Cost of Materials
PVC LIPPING BEIGE P1015 T03 22 X 0.5MM - 100 MTR - UNILAM,00-50001250,,Mtr,Inventory Item,Cost of Materials
PVC LIPPING BEIGE P1015 T03 22 X 0.8MM - 100 MTR - UNILAM,00-50001249,,Mtr,Inventory Item,Cost of Materials
PVC LIPPING MF-138 22 X 1MM - EMILAM,00-50003213,,LM,Inventory Item,Cost of Materials
PVC LIPPING MF-377 22 X 1MM - EMILAM,00-50003264,,LM,Inventory Item,Cost of Materials
PVC LIPPING MF-384 22 X 2MM - 100 MTR - EMILAM,00-50003039,,LM,Inventory Item,Cost of Materials
PVC LIPPING MF-475 22 X 1MM - EMILAM,00-50003097,,LM,Inventory Item,Cost of Materials
PVC LIPPING W2051 T09 22 X 0.5MM - 100 MTR - UNILAM,00-50001402,,Mtr,Inventory Item,Cost of Materials
PVC LIPPING W2051 T09 22 X 0.8MM - 100 MTR - UNILAM,00-50001251,,Mtr,Inventory Item,Cost of Materials
PVC LIPPING WHITE P1001 30 X 0.8MM,00-50003980,,LM,Inventory Item,Cost of Materials
PVC LIPPING WOOD GRAIN W2051 30 X 0.8MM,00-50003979,,LM,Inventory Item,Cost of Materials
"PVC plinth with semi-concealed gasket. With protective film. 3 mtr, White - HAFELE 713.55.120",00-50001913,,Mtr,Inventory Item,
"PVC SANDING PAD 5""",00-50001278,,Nos,Inventory Item,Cost of Materials
RATTAN,00-50003988,,Mtr,Inventory Item,
REGISTER BOOK A4,00-50002117,,Nos,Inventory Item,
RENTAL CHAIR- OSLO ARMCHAIR SAND - BLACK LEG-0.61M x0.55M x0.86M H,00-50002160,,Nos,Service,
RENTAL SOFA - EXECUTIVE 3-SEAT SOFA WHITE - 1.95M x 0.75M X 0.7M H,00-50002159,,Nos,Service,
RENTAL SOFA- EXECUTIVE 2-SEAT SOFA WHITE - 1.4MM x 0.75M x 0.7M H,00-50002158,,Nos,Service,
ROUND OVER BIT-225641 ARDEN,00-50001726,,Nos,Inventory Item,
ROUTER BIT S-12X35 141.060.61-CMT,00-50002620,,Nos.,Inventory Item,
SANDING BELT 1380X2620 GRIT-60,00-50002483,,Roll,Inventory Item,
SANDING MACHINE PAD B05041,00-50001276,,Nos,Inventory Item,Cost of Materials
SANDING MACHINE PAD BO5030,00-50001277,,Nos,Inventory Item,Cost of Materials
SHATTAF SS FINISH,00-50001556,,Nos,Inventory Item,Cost of Materials
SHELF SUPPORT PIN CAP - METAL,00-50003364,,Nos,Inventory Item,Cost of Materials
"Shelf support, for inserting into drill hole ⌀ 5 mm ,plastic with steel pin for wooden and glass shelves, load bearing capacity 3.1 kg per item, White",00-50001917,,Nos,Inventory Item,
SHUTTER LOCK FOR 6MM GLASS,00-50002066,,Nos,Inventory Item,
SIDE TABLE ( ALUMINIUM FRAME POWDER COATED) H54CM X 55 DIA,00-50001031,,Nos,Inventory Item,Cost of Materials
SMOKE DETECTOR - BATTERY OPERATED,00-50003338,,No.,Inventory Item,Cost of Materials
SOCKET 16A FEMALE,00-50001221,,Nos,Inventory Item,Cost of Materials
"SOLID ASH WOOD 2""X10""X10' KD AAA GRADE",00-50003720,,CFT,Inventory Item,
"SOLID ASH WOOD 2""X10""X12' KD AAA GRADE",00-50003893,,CFT,Inventory Item,
"SOLID ASH WOOD 2""X7""X8' KD AAA GRADE",00-50003885,,CFT,Inventory Item,
SPRAY PAINT  WHITE,00-50001899,,No.,Inventory Item,
STAR BIT PH2 U1576,00-50003159,,Pkt,Inventory Item,
STICKER - EMERGENCY NUMBERS,00-50001722,,No.,Inventory Item,
SUPPLY & APPLICATION OF TEXTURE PAINT ,00-50001032,,LS,Service,
Supply & Installation of Kitchen Cabinet Island Unit Pure White Quartz 2cm thick 70cm width half round & polished edge including Sink cutout,00-50002448,,LM,Service,
Supply & Installation of Kitchen Counter Top Pure White Quartz 2cm thick 60cm width half round & polished edge including Sink cutout,00-50002445,,LM,Service,
Supply & Installation of Kitchen Unit Back Splash Pure White Quartz 2cm thick 60cm height half round & polished edge including Sink cutout,00-50002447,,LM,Service,
SUPPLY & INSTALLATION OF MARBLE,00-50001239,,LM,Service,Direct Cost
Supply & Installation of Semi Recessed Vanity Counter Top Pure White Quartz 2cm thick 40cm width half round & polished edge including Sink cutout,00-50002446,,LM,Service,
Supply & Installation of Vanity Counter Top Pure White Quartz 2+2cm lipping 60cm width half round & polished edge including Sink cutout fixing on the ,00-50002439,,LM,Service,
SUPPLY AND INSTALLATION OF NEW 100MM WOODEN POLES ,00-50000370,,LM,Service,Sub Contract
SUPPLY AND INSTALLATION OF SIGNAGE,00-50003235,,No.,Service,
SUPPLY AND INSTALLATION S.S WORKS,00-50003965,,LS,Service,
SURGICAL HAND GLOVES,00-50001271,,Pkt,Inventory Item,Cost of Materials
SURGICAL SPIRIT BP 200ML,00-50001693,,Nos.,Inventory Item,Other Operating Expenses
"SURGICAL TAPE 1""",00-50001701,,Nos.,Inventory Item,Other Operating Expenses
SWR FEVICOL 20KG,00-50001272,,Drum,Inventory Item,Cost of Materials
TARPAULIN SHEET - WATER PROOF - 30X30,00-50003938,,No.,Inventory Item,Cost of Materials
TARPAULIN SHEET - WATER PROOF - 60X60,00-50003357,,No.,Inventory Item,Cost of Materials
"TATA LPO 916 Ultra Staff Bus ,E4 engine, AC BUS,34 Seat Including Driver, Model Year: 2024",00-50001843,,Nos,Inventory Item,
TELESCOPIC TRYPOD STAND ,00-50001628,,Nos,Inventory Item,
TOOLS REPAIR,00-50001735,,Nos,Service,
"Track Rail, Aluminium Track Light Fitting 1 Meter - 2 Wire Connector System Tracks Fixture - Black",00-50001725,,No.,Inventory Item,
"Track Rail, Aluminium Track Light Fitting 1 Meter - 2 Wire Connector System Tracks Fixture - White",00-50001724,,No.,Inventory Item,
TRIPOD FOR LASER TECHNOLOGY LT-H1570MM-SCR-1/4IN,00-50000830,,Nos,Inventory Item,Cost of Materials
VEVEER ENGRAVING,00-50001219,,m2,Service,Direct Cost
VISION PANEL,00-50003311,,No.,Inventory Item,Cost of Materials
WALL LIGHT 100W IP65,00-50003412,,No.,Inventory Item,Cost of Materials
WALL LIGHT N1106,00-50002450,,No.,Inventory Item,
Wardrobe rail Oval 30x15mm x2.5Mtr - hafele - 801.70.212,00-50001919,,Mtr,Inventory Item,
WASTE COLLECTION,00-50000769,,LS,Service,Wastage
WOODEN DOWEL 10MMX40MM,00-50001993,,Nos,Inventory Item,Cost of Materials
ZIG ZAG COTTON 100G,00-50001696,,Pkt,Inventory Item,Other Operating Expenses
Stationary,00-00000059,,,,
BALL PEN - BLACK,00-50002830,,Pkt,Inventory Item,Cost of Materials
BALL PEN - BLUE,00-50002829,,Pkt,Inventory Item,Cost of Materials
BOX FILE - A3,00-50002834,,Nos.,Inventory Item,Cost of Materials
BOX FILE - A4,00-50002833,,Nos.,Inventory Item,
"BOX FILE 2"" WHITE",00-50002737,,Nos.,Inventory Item,
CORRECTION FLUID,00-50003059,,Pkt,Inventory Item,Cost of Materials
DELIVERY ORDER BOOK,00-50003315,,No.,Inventory Item,Cost of Materials
ENVELOPE - SIZE A3,00-50003060,,Pkt,Inventory Item,Cost of Materials
FILE HOLDER RACK,00-50003590,,Nos.,Inventory Item,Cost of Materials
HIGHLIGHTERS,00-50002748,,Pkt,Inventory Item,
HOLE PUNCH FOR PAPER,00-50002831,,No.,Inventory Item,Cost of Materials
HP 938 BLACK INK CART,00-50002788,,Nos.,Inventory Item,
HP 938 CYAN INK CART,00-50002789,,Nos.,Inventory Item,
HP 938 MAGENTA INK,00-50002790,,Nos.,Inventory Item,
HP 953-XL BLACK INK CART,00-50003091,,Nos.,Inventory Item,
HP 953-XL CYAN INK CART,00-50003088,,Nos.,Inventory Item,
HP 953-XL MAGENTA INK CART,00-50003089,,Nos.,Inventory Item,
HP 953-XL YELLOW INK CART,00-50003090,,Nos.,Inventory Item,
INTERNAL MATERIAL REQUEST BOOK,00-50003316,,No.,Inventory Item,Cost of Materials
LIQUID INK FOR STAMP PAD - BLUE,00-50003058,,No.,Inventory Item,Cost of Materials
PENCIL,00-50002736,,Pkt,Inventory Item,
PERMANENT MARKER,00-50002738,,Pkt,Inventory Item,
PIN REMOVER,00-50002765,,Nos.,Inventory Item,
PLASTIC PUNCHED POCKETS SHEETS - A4,00-50003061,,Pkt,Inventory Item,Cost of Materials
PURCHASE REQUEST BOOK,00-50003314,,No.,Inventory Item,Cost of Materials
STAMP PAD - SHADES INTERIORS,00-50003161,,No.,Inventory Item,Cost of Materials
STAMP PAD - SPACE BUILDER - MATERIAL RECEIVED,00-50003162,,No.,Inventory Item,Cost of Materials
STAMP PAD WITH DATE - SPACE BUILDER - RECEIVED,00-50004027,,No.,Inventory Item,Cost of Materials
VEHICLES LOG BOOK,00-50003317,,No.,Inventory Item,Cost of Materials
Subcon,00-00000035,,,,
CNC ENGRAVING ,00-00000151,,LM,Service,
KITCHEN CORIAN TOP - AS PER SAMPLE,00-50002819,,Nos.,Inventory Item,Cost of Materials
METAL LEG,00-50002897,,No.,Inventory Item,Cost of Materials
METAL PLATE,00-50003407,,No.,Inventory Item,Cost of Materials
SUPPLY & INSTALLATION OF ACOUSTIC PANEL,00-50002606,,Sqm,Service,
SUPPLY & INSTALLATION OF SOLID SURFACE COUNTER TOP (COLOUR: IS-111 BLACK) AS PER SITE MEASUREMENT,00-50002820,,Nos.,Service,
SUPPLY AND INSTALLATION OF CORIAN TOP,00-50003426,,Nos,Service,Subcontractor Cost
Supply and Installation of Skirting ,00-00000305,,LM,Service,
TABLE,00-50002898,,No.,Inventory Item,
VENEER ENGRAVING,00-00000254,,m2,Service,
Timber,00-00000090,,,,
CHANDAL WOOD 100MM DIA ,00-50002979,,No.,Inventory Item,Cost of Materials
"SOLID BEECH WOOD 2""X10""X8' GRADE:AB-KD",00-00000091,,CFT,Inventory Item,
"SOLID BEECH WOOD 2""X10""X9' GRADE:AB-KD",00-50003365,,CFT,Inventory Item,
"SOLID RED OAK WOOD 2"" AAA GRADE KD",00-50003307,,PCS,Inventory Item,Cost of Materials
"SOLID WHITE OAK WOOD 2"" ",00-50003145,,CFT,Inventory Item,Cost of Materials
"SOLID WHITE OAK WOOD 3"" ",00-50003368,,CFT,Inventory Item,Cost of Materials
"SOLID WOOD - AFRICAN TEAK - 2""X10""X8'",00-50003910,,No.,Inventory Item,Cost of Materials
"SOLID WOOD - BURMA TEAK - 2""X8""X8'",00-50003465,,No.,Inventory Item,Cost of Materials
"SOLID WOOD - MERANTI - 2""x6""x12'",00-50003931,,CFT,Inventory Item,Cost of Materials
"SOLID WOOD - MERANTI - 2""x6""x8'",00-50003167,,CFT,Inventory Item,Cost of Materials
"SOLID WOOD IROKO 2""X10""X9' ",00-00000233,,PCS,Inventory Item,
"SOLID WOOD IROKO 2""X7""X9' ",00-50003886,,PCS,Inventory Item,
"SOLID WOOD IROKO 2""X9""X14' ",00-00000199,,Cbm,Inventory Item,
"SOLID WOOD IROKO 3""X10""X8' ",00-00000241,,CFT,Inventory Item,
"SOLID WOOD IROKO 3""X7""X10' ",00-50003887,,PCS,Inventory Item,
"SOLID WOOD MOVINGUI  (GOLDEN IROKO), 2""X6"" AND WIDER",00-50002630,,CFT,Inventory Item,Cost of Materials
WHITE WOOD 2x2x 4 MTR,00-50002757,,Nos,Inventory Item,
WHITE WOOD 4''x2''x4 MTR,00-50003438,,Nos,Inventory Item,
Tools,00-00000029,,,,
"3 PIECE AJDUSTABLE GROOVING SET 160X4-15X40, Z-2+4+4 694.001.40",00-50002974,,No.,Inventory Item,Cost of Materials
"ADJUSTABLE GROOVING CUTTER 160X15.5-30X40, Z-4+4 2030.160.015/76 B-40",00-50002973,,No.,Inventory Item,Cost of Materials
AIR HOSE HANGER,00-50002599,,Nos,Inventory Item,
AIR HOSE PIPE - BLACK,00-50002922,,Mtr,Inventory Item,Cost of Materials
AIR NAIL GUN 0 PIN - T625B,00-50002672,,No.,Inventory Item,Cost of Materials
AIR NAIL GUN F-30 PIN,00-50003146,,No.,Inventory Item,Cost of Materials
ALLEN KEY SET,00-50003183,,No.,Inventory Item,Cost of Materials
ALUMINUM A TYPE LADDER-2 MTR HEIGHT,00-50003018,,No.,Inventory Item,Cost of Materials
ALUMINUM CUTTER BLADE: 297.080.10M,00-50003873,,No.,Inventory Item,Cost of Materials
ALUMINUM FOLDABLE LADDER - 2.5 MTR HEIGHT,00-50003517,,No.,Inventory Item,Cost of Materials
ALUMINUM STICK FOR PAINT ROLLER ,00-50003524,,No.,Inventory Item,Cost of Materials
CASTER WHEEL 100MM HEIGHT,00-50003057,,Nos.,Inventory Item,Cost of Materials
CHAIN SAW BLADE,00-50002682,,No.,Inventory Item,Cost of Materials
CHALK LINE,00-50003198,,No.,Inventory Item,Cost of Materials
CHISEL 12MM,00-50003172,,No.,Inventory Item,Cost of Materials
CHISEL 18MM,00-50003173,,No.,Inventory Item,Cost of Materials
CHISEL 25MM,00-50003174,,No.,Inventory Item,Cost of Materials
CHISEL 32MM,00-50003175,,No.,Inventory Item,Cost of Materials
CHISEL 6MM,00-50003171,,No.,Inventory Item,Cost of Materials
CLAMP 1000MM,00-50003871,,Nos.,Inventory Item,Cost of Materials
"CLAMP 24"" ",00-50003168,,Nos.,Inventory Item,Cost of Materials
CLAMP FOR DRAWERS - C TYPE,00-50003466,,Nos.,Inventory Item,Cost of Materials
CONCRETE BIT 10MM DIA,00-50003583,,No.,Inventory Item,Cost of Materials
CONCRETE BIT 12MM DIA,00-50003584,,No.,Inventory Item,Cost of Materials
CONCRETE BIT 13MM DIA,00-50003585,,No.,Inventory Item,Cost of Materials
CONCRETE BIT 14MM DIA,00-50003586,,No.,Inventory Item,Cost of Materials
CONCRETE BIT 6MM DIA,00-50002856,,No.,Inventory Item,Cost of Materials
CONCRETE BIT 8MM DIA,00-50002857,,No.,Inventory Item,Cost of Materials
CORDLESS DRILL DRIVER 18V (MAKITA),00-50003170,,No.,Inventory Item,Cost of Materials
CORDLESS TIGHTER DRILL - 18V,00-50003470,,No.,Inventory Item,Cost of Materials
COUNTER BIT 12MM - METAL,00-50003551,,No.,Inventory Item,Cost of Materials
COUNTER BIT 3.5MM,00-50002924,,No.,Inventory Item,Cost of Materials
COUNTERSINK DRILL BIT SET,00-50002839,,Set,Inventory Item,Cost of Materials
CUTTING PLIER,00-50003065,,No.,Inventory Item,Cost of Materials
DRILL MACHINE HILTI - MAKITA,00-50003282,,No.,Inventory Item,Cost of Materials
ELECTRIC BLOWER,00-50003358,,No.,Inventory Item,Cost of Materials
ELECTRIC MULTIMETER ,00-50003071,,No.,Inventory Item,Cost of Materials
ELECTRIC SCREW DRIVER SET,00-50003067,,Set,Inventory Item,Cost of Materials
ELECTRICAL TESTER - BIG,00-50003063,,No.,Inventory Item,Cost of Materials
ELECTRICAL TESTER - SMALL,00-50003064,,No.,Inventory Item,Cost of Materials
FIRST AID BOX,00-50002600,,Box,Inventory Item,
FLAT WOODEN BIT 10MM TO 32MM,00-50002847,,Set,Inventory Item,Cost of Materials
GLASS SCRAPPER,00-50003850,,No.,Inventory Item,Cost of Materials
GRIP PLIER,00-50003069,,No.,Inventory Item,Cost of Materials
GROOVING CUTTER FOR SIX HEAD MOULDER - CMT,00-50002971,,No.,Inventory Item,Cost of Materials
HACKSAW FRAME,00-50003196,,No.,Inventory Item,Cost of Materials
